,Date,Start (ET),Visitor/Neutral,Home/Neutral,Location,Arena
276,2024-03-21,,Real Madrid,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
277,2024-03-21,,Baskonia,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
278,2024-03-22,,Maccabi Playtika Tel Aviv,Bayern München,"Munich, Germany",BMW Park
279,2024-03-22,,Fenerbahçe Beko,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
280,2024-03-22,,Valencia Basket,AS Monaco,Monaco,Salle Gaston Medecin
281,2024-03-22,,Barcelona,Panathinaikos,"Athens, Greece",OAKA Altion
282,2024-03-22,,Virtus Segafredo Bologna,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
283,2024-03-28,,Barcelona,Bayern München,"Munich, Germany",BMW Park
284,2024-03-28,,Valencia Basket,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
285,2024-03-28,,Olympiacos,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
286,2023-10-18,,Maccabi Playtika Tel Aviv,Valencia Basket,"Valencia, Spain",La Fonteta
287,2024-03-28,,AS Monaco,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
288,2024-03-28,,Anadolu Efes,Baskonia,"Vitoria-Gastei, Spain",Buesa Arena
289,2024-03-28,,EA7 Emporio Armani Milano,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
290,2024-03-29,,Crvena zvezda Meridianbet,Real Madrid,"Madrid, Spain",WiZink Center
291,2024-03-29,,ALBA Berlin,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
292,2024-03-29,,Panathinaikos,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
293,2024-04-04,,Partizan Mozzart Bet,ALBA Berlin,"Berlin, Germany",Mercedes-Benz Arena
294,2024-04-04,,Maccabi Playtika Tel Aviv,Barcelona,"Barcelona, Spain",Palau Blaugrana
295,2024-04-04,,Žalgiris,AS Monaco,Monaco,Salle Gaston Medecin
296,2024-04-04,,Olympiacos,Crvena zvezda Meridianbet,"Belgrade, Serbia",Stark Arena
297,2024-04-04,,LDLC ASVEL,Valencia Basket,"Valencia, Spain",La Fonteta
298,2024-04-05,,Panathinaikos,Bayern München,"Munich, Germany",BMW Park
299,2024-04-05,,Virtus Segafredo Bologna,EA7 Emporio Armani Milano,"Milan, Italy",Mediolanum Forum
300,2024-04-05,,Baskonia,Real Madrid,"Madrid, Spain",WiZink Center
301,2024-04-05,,Anadolu Efes,Fenerbahçe Beko,"Istanbul, Turkey",Ulker Sports and Event Hall
302,2024-04-11,,Crvena zvezda Meridianbet,Anadolu Efes,"Istanbul, Turkey",Sinan Erdem Dome
303,2024-04-11,,EA7 Emporio Armani Milano,Maccabi Playtika Tel Aviv,"Tel Aviv, Israel",Menora Mivtachim Arena
304,2024-04-11,,Bayern München,AS Monaco,Monaco,Salle Gaston Medecin
305,2024-04-11,,ALBA Berlin,Panathinaikos,"Athens, Greece",OAKA Altion
306,2024-04-11,,Real Madrid,Žalgiris,"Kaunas, Lithuania",Zalgirio Arena
307,2024-04-12,,Fenerbahçe Beko,Olympiacos,"Piraeus, Greece",Peace and Friendship Stadium
308,2024-04-12,,Valencia Basket,Partizan Mozzart Bet,"Belgrade, Serbia",Stark Arena
309,2024-04-12,,Barcelona,LDLC ASVEL,"Villeurbanne, France",LDLC Arena
310,2024-04-12,,Baskonia,Virtus Segafredo Bologna,"Bologna, Italy",Segafredo Arena
